dt,AverageTemperature,Country,GDP,G20
1992-08-01,0.8080190282025145,Japan,3908809463463.86,True
1993-08-01,0.753346924906558,Japan,4454143876947.21,True
1994-08-01,0.8950390757730208,Japan,4907039384469.68,True
1995-08-01,0.8567108392796466,Japan,5449116304981.1,True
1996-08-01,0.8077811756710841,Japan,4833712542207.1,True
1997-08-01,0.8094461433910976,Japan,4414732843544.43,True
1998-08-01,0.8252123683316345,Japan,4032509760872.94,True
1999-08-01,0.8680598029221883,Japan,4562078822335.45,True
2000-08-01,0.8641862045531772,Japan,4887519660744.86,True
2001-08-01,0.8114848793747876,Japan,4303544259842.72,True
2002-08-01,0.8180088345225961,Japan,4115116279069.77,True
2003-08-01,0.7948691811077132,Japan,4445658071221.86,True
2004-08-01,0.8247026843357119,Japan,4815148854362.11,True
2005-08-01,0.8532449881073735,Japan,4755410630912.14,True
2006-08-01,0.8697247706422019,Japan,4530377224970.4,True
2007-08-01,0.8668025823989127,Japan,4515264514430.57,True
2008-08-01,0.8167176350662589,Japan,5037908465114.48,True
2009-08-01,0.8044172612979952,Japan,5231382674593.7,True
2010-08-01,0.9052667346245328,Japan,5700098114744.41,True
2011-08-01,0.8495073054706083,Japan,6157459594823.72,True
2012-08-01,0.8733605164797826,Japan,6203213121334.12,True
2013-08-01,0.8722052327556915,Japan,5155717056270.83,True
1960-08-01,0.7149167516139996,Nepal,508334413.965087,False
1961-08-01,0.7048250084947332,Nepal,531959561.62226,False
1962-08-01,0.6881073734284744,Nepal,574091101.194382,False
1963-08-01,0.7005436629289841,Nepal,496947904.443033,False
1964-08-01,0.707645259938838,Nepal,496098775.308642,False
1965-08-01,0.6858307849133538,Nepal,735267082.294264,False
1966-08-01,0.6994903160040774,Nepal,906811943.824649,False
1967-08-01,0.6907917091403329,Nepal,841974025.462659,False
1968-08-01,0.6977573904179409,Nepal,772228643.405428,False
1969-08-01,0.6920489296636086,Nepal,788641965.432099,False
1970-08-01,0.7033639143730889,Nepal,865975308.641975,False
1971-08-01,0.6710839279646619,Nepal,882765471.604938,False
1972-08-01,0.6920149507305471,Nepal,1024098804.93827,False
1973-08-01,0.6932721712538226,Nepal,972101724.995368,False
1974-08-01,0.6966360856269113,Nepal,1217953546.97604,False
1975-08-01,0.6940536867142372,Nepal,1575789254.46938,False
1976-08-01,0.6745158002038739,Nepal,1452792989.10865,False
1977-08-01,0.7010873258579683,Nepal,1382400000.0,False
